id,key,asset_type,hp_artist_assets
4294967296,morningmusumechannel,youtube,1
4294967297,MorningMusumeMg,twitter,1
4294967298,morningmusume-9ki,ameblo,1
4294967299,morningmusume-10ki,ameblo,1
4294967300,mm-12ki,ameblo,1
4294967301,morningm-13ki,ameblo,1
4294967302,morningmusume15ki,ameblo,1
4294967303,angerme-amerika,ameblo,2
4294967304,angerme-ss-shin,ameblo,2
4294967305,angerme-new,ameblo,2
4294967306,angerme_upfront,twitter,2
4294967307,juicejuicechannel,youtube,3
4294967308,JuiceJuice_uf,twitter,3
4294967309,juicejuice-official,ameblo,3
4294967310,countrygirls,ameblo,4
4294967311,satodamai,ameblo,4
4294967312,countrygirls_uf,twitter,4
4294967313,kobushifac_uf,twitter,5
4294967314,kobushi-factory,ameblo,5
4294967315,tsubaki-factory,ameblo,6
4294967316,tsubakifac_uf,twitter,6
4294967317,BEYOOOOONDS_,twitter,7
4294967318,beyooooonds-chicatetsu,ameblo,7
4294967319,beyooooonds-rfro,ameblo,7
4294967320,beyooooonds,ameblo,7
4294967321,angerme,youtube,2
4294967322,tsubakifactory,youtube,6
4294967323,beyooooonds,youtube,7
4294967324,morningmusume_official,instagram,1
4294967325,@helloproject1998,tiktok,7
4294967326,mizuki_fukumura.official,instagram,1
4294967327,erina_ikuta.official,instagram,1
4294967328,ayumi_ishida.official,instagram,1
4294967329,miki_nonaka.official,instagram,1
4294967330,maria_makino.official,instagram,1
4294967331,akane__haga.official,instagram,1
4294967332,kaede_kaga.official,instagram,1
4294967333,reina_yokoyama.official,instagram,1
4294967334,chisaki__morito.official,instagram,1
4294967335,angerme_official,instagram,2
4294967336,@angerme_uf,tiktok,2
4294967337,akari_takeuchi.official,instagram,2
4294967338,ayano_kawamura.official,instagram,2
4294967339,rikako_sasaki.official,instagram,2
4294967340,juice_juice_official,instagram,3
4294967341,@JuiceJuice_uf,tiktok,3
4294967342,tomoko_kanazawa.official,instagram,3
4294967343,sayuki_takagi.official,instagram,3
4294967344,karin_miyamoto.official,instagram,3
4294967345,akari_uemura.official,instagram,3
4294967346,manaka_inaba.official,instagram,3
4294967347,rei_inoue.official,instagram,3
4294967348,ruru_dambara.official,instagram,3
4294967349,beyooooonds_official,instagram,7
4294967350,tsubakifactory_official,instagram,6
4294967351,@tsubakifactory_uf,tiktok,6
4294967352,riko_yamagishi.official,instagram,6
4294967353,risa__ogata.official,instagram,6
4294967354,kisora_niinuma.official,instagram,6
4294967355,ami_tanimoto.official,instagram,6
4294967356,yumeno_kishimoto.official,instagram,6
4294967357,kiki_asakura.official,instagram,6
4294967358,mizuho_ono.official,instagram,6
4294967359,saori_onoda.official,instagram,6
4294967360,moe_kamikokuryo.official,instagram,2
4294967361,@beyooooonds_,tiktok,7
4294967362,mao__akiyama.official,instagram,6
4294967363,beyonobi,youtube,7
4294967364,@morningmusume_uf,tiktok,1
4294967365,ochanorma,youtube,8
4294967366,ocha_norma,twitter,8
4294967367,ocha_norma_official,instagram,8
4294967368,ocha-norma,ameblo,8
4294967369,hapisugo,youtube,6
4294967370,morningmusume16ki,ameblo,1
4294967371,@ocha_norma,tiktok,8
4294967372,@juicejuice_uf,tiktok,3
4294967373,reina_ichioka.official,instagram,7
4294967374,rika_shimakura.official,instagram,7
4294967375,shiori_nishida.official,instagram,7
4294967376,saya_eguchi.official,instagram,7
4294967377,kurumi_takase.official,instagram,7
4294967378,kokoro_maeda.official,instagram,7
4294967379,yuhane_yamazaki.official,instagram,7
4294967380,minami_okamura.official,instagram,7
4294967381,momohime_kiyono.official,instagram,7
4294967382,miyo_hirai.official,instagram,7
4294967383,honoka_kobayashi.official,instagram,7
4294967384,utano_satoyoshi.official,instagram,7
4294967385,countrygirls_official,instagram,4
4294967386,kobushifactory_official,instagram,5
4294967387,layla_ise.official,instagram,2
4294982310,rio_kitagawa.official,instagram,1
4294982311,homare__okamura.official,instagram,1
4294982312,mei_yamazaki.official,instagram,1
4295042859,tsubaki-factory-new,ameblo,6
4295068807,yuumi__kasai.official,instagram,6
4295068808,shiori_yagi.official,instagram,6
4295068809,marine_fukuda.official,instagram,6
4295068866,rin_kawana.official,instagram,2
4295068867,shion_tamenaga.official,instagram,2
4295070107,yume_kudo.official,instagram,3
4295070108,risa_irie.official,instagram,3
4295146179,rosychronicle,ameblo,5271
4295146180,rosy_chronicle_official,instagram,5271
4295171668,madoka_saito.official,instagram,8
4295171669,ruli_hiromoto.official,instagram,8
4295171670,kanami_ishiguri.official,instagram,8
4295171671,kirara_yonemura.official,instagram,8
4295171672,nanami_kubota.official,instagram,8
4295171673,natsume_nakayama.official,instagram,8
4295171674,miku_nishizaki.official,instagram,8
4295171675,momo_kitahara.official,instagram,8
